Year,Stunting_National_Point_Estimate,Wasting_National_Point_Estimate,Overweight_National_Point_Estimate
2020,46.7,1.5,1.3
2000,27.2,3.1,8.1
2006,18.9,2.1,4.5
2015,11.5,1.1,5.9
2019,7.2,1.1,3.1
2002,24.9,3.9,11
2006,19.6,1.6,12.2
2017,10.8,0.3,4.6
2021,6.5,1.1,4.5
2000,42.1,2.7,2.3
2000,42.1,2.7,2.6
2000,42.1,1,2.3
2000,42.1,1,2.6
2000,43.2,2.7,2.3
2000,43.2,2.7,2.6
2000,43.2,1,2.3
2000,43.2,1,2.6
2002,37.5,2.4,2.6
2003,35.4,2.7,2.2
2004,33.7,2.8,2.7
2005,33.3,2.8,2.6
2006,31.7,2.4,3.1
2007,31.7,2.4,2.9
2008,30.8,2.4,3
2009,29.3,3.8,5.6
2010,22.7,1.2,4.5
2013,25.9,1.3,4.6
2014,24.9,4.8,3.5
2015,24.6,1.4,5.3
2017,23.8,1.2,5.9
2018,23.2,1.1,7.1
2019,22.4,1,7.4
2020,19.6,1,7.9
2020,19.5,1,7.9
2003,57.3,6.4,4.9
2005,57,4.4,6.3
2011,46.6,3.4,1.5
2013,46.4,5.4,2.5
