Countries and areas,National Point Estimate
Gambia,25.1
Gambia,21.1
Gambia,24.6
Gambia,19.0
Gambia,13.6
Gambia,17.5
Georgia,16.1
Georgia,14.6
Georgia,11.8
Georgia,5.8
Germany,1.2
Germany,1.3
Ghana,35.2
Ghana,32.8
Ghana,34.7
Ghana,30.6
Ghana,35.5
Ghana,27.9
Ghana,28.4
Ghana,22.8
Ghana,18.8
Ghana,17.5
Greece,1.5
Guatemala,62.2
Guatemala,55.4
Guatemala,53.1
Guatemala,51.0
Guatemala,54.8
Guatemala,51.5
Guatemala,43.4
Guatemala,46.7
Guatemala,46.0
Guinea,35.3
Guinea,31.1
Guinea,39.3
Guinea,34.0
Guinea,34.4
Guinea,31.1
Guinea,32.4
Guinea,30.3
Guinea-Bissau,33.8
Guinea-Bissau,32.0
Guinea-Bissau,26.4
Guinea-Bissau,27.6
Guinea-Bissau,27.7
Guinea-Bissau,28.1
Guyana,14.7
Guyana,14.0
Guyana,13.9
Guyana,17.9
Guyana,19.3
Guyana,11.3
Guyana,9.5
Haiti,40.1
Haiti,37.1
Haiti,28.8
Haiti,29.6
Haiti,23.4
Haiti,22.0
Haiti,21.9
Honduras,43.3
Honduras,42.7
Honduras,45.7
Honduras,43.3
Honduras,35.5
Honduras,29.8
Honduras,22.6
Honduras,18.7
India,62.7
India,61.9
India,57.1
India,45.9
India,51.0
India,47.8
India,38.7
India,37.9
India,34.7
India,35.5
Indonesia,48.1
Indonesia,42.3
Indonesia,41.6
Indonesia,28.6
Indonesia,40.1
Indonesia,39.2
Indonesia,36.4
Indonesia,30.8
Iran (Islamic Republic of),24.4
Iran (Islamic Republic of),20.4
Iran (Islamic Republic of),7.1
Iran (Islamic Republic of),6.8
Iran (Islamic Republic of),4.8
Iraq,27.6
Iraq,28.1
Iraq,33.7
Iraq,20.0
Iraq,27.5
Iraq,22.1
Iraq,12.6
Jamaica,12.0
Jamaica,11.8
Jamaica,14.4
Jamaica,12.6
Jamaica,12.1
Jamaica,9.7
Jamaica,11.2
Jamaica,8.7
Jamaica,9.5
Jamaica,5.7
Jamaica,7.2
Jamaica,6.6
Jamaica,8.2
Jamaica,4.9
Jamaica,7.5
Jamaica,5.4
Jamaica,6.9
Jamaica,6.0
Jamaica,6.8
Jamaica,6.0
Jamaica,9.3
Jamaica,4.6
Japan,7.1
Jordan,20.0
Jordan,11.1
Jordan,11.7
Jordan,8.2
Jordan,7.8
Jordan,7.4
Kazakhstan,18.9
Kazakhstan,13.2
Kazakhstan,17.5
Kazakhstan,13.1
Kazakhstan,8.0
Kenya,37.0
Kenya,40.2
Kenya,41.1
Kenya,36.8
Kenya,40.8
Kenya,35.8
Kenya,40.3
Kenya,35.5
Kenya,26.3
Kenya,26.2
Kenya,29.7
Kenya,17.6
Kiribati,34.4
Kiribati,15.2
Kuwait,5.0
Kuwait,4.0
Kuwait,3.6
Kuwait,3.9
Kuwait,4.1
Kuwait,4.5
Kuwait,4.6
Kuwait,5.1
Kuwait,5.1
Kuwait,3.8
Kuwait,4.1
Kuwait,4.0
Kuwait,4.3
Kuwait,4.8
Kuwait,5.8
Kuwait,5.2
Kuwait,6.3
Kuwait,5.8
Kuwait,7.5
Kuwait,6.0
